Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
19," Noar, NL Ahmad","The effectiveness of Al-Rahn (Islamic Pawn broking scheme) on socio-economic needs: A case study in Kuantan and Kuala Terengganu, Malaysia",8,2015, journals.iium.edu.my, Revelation and Science,https://journals.iium.edu.my/revival/index.php/revival/article/view/157,1
83, Chan,Socio-economic significance of the pawnbroking business in Singapore,7,2001, brill.com, Asian Journal of Social Science,https://brill.com/view/journals/ajss/29/3/article-p551_10.xml,0
68,"Collard, D Hayes",Pawnbroking Customers in 2010: A survey,7,2010, bristol.ac.uk, Reading: National Pawnbrokers Association,http://www.bristol.ac.uk/media-library/sites/geography/migrated/documents/pfrc1005.pdf,0
40," Bakar, N Abd Aziz, NZ Mohd…",The antecedents of Islamic Pawn Broking (Ar-Rahnu) in Kuala Terengganu,7,2018, jesoc.com, Journal of Education and …,http://jesoc.com/wp-content/uploads/2018/05/JESOC-KC9_210.pdf,1
18, Miller,The Perplexing Status of Pawnbrokers Under the UCCC,7,1971, HeinOnline, Okla. L. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/oklrv24&section=16,0
57,"Brookes, K Harvey",The Discourse of Alternative Credit: A Multimodal Critical Examination of the Cash Converters Mobile App,6,2017, Springer, The Language of Money and Debt: A …,https://link.springer.com/chapter/10.1007/978-3-319-57568-1_10,1
62, Johnson,Traumatic experience and the representation of nature in the novel and film The Pawnbroker,6,2007, search.proquest.com, Literature/Film Quarterly,https://search.proquest.com/openview/3353fd2812c850c4a4ff4d1656776dbb/1?pq-origsite=gscholar&cbl=5938,0
34, Cunningham,"The Insistence of Memory: The Opening Sequences of Lumet's"" Pawnbroker""",6,1989, JSTOR, Literature/Film Quarterly,https://www.jstor.org/stable/43782763,0
38," bt Bahari, S bt Fisal, WSS bt Shahar…","The Development Of Islamic Pawnbroking In Malaysia, Application And Its Challenges",5,0,press.com,,https://www.atlantis-press.com/proceedings/iceb-15/25384,0
37, Sijpesteijn,A Pawnbroker's Account,5,1993, JSTOR, Ancient Society,https://www.jstor.org/stable/44079519,0
15," Nickles, ES Adams","Pawnbrokers, Police, and Property Rights-A Proposed Constitutional Balance",5,1994, HeinOnline, Ark. L. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/arklr47&section=31,0
33,Lyons,""" The Pawnbroker"": A Study of the Flashback in Novel and Film",5,1966, search.proquest.com, Western Humanities Review,https://search.proquest.com/openview/d5175a845b0fb2c0fe57fbb93596c5d2/1?pq-origsite=gscholar&cbl=1820945,0
49," Bahari, Z Shafii, NW Ahmad",Overview of Regulatory and Legal Framework of Pawnbroking System in Malaysia,5,2021, muwafaqat.kuisjournal.com, Journal of Muwafaqat,http://www.muwafaqat.kuisjournal.com/index.php/journal/article/view/4,1
80,"McLaughlin, R Pecchenino",Fringe banking and financialization: Pawnbroking in pre‐famine and famine Ireland,5,2022, Wiley Online Library, The Economic History Review,https://onlinelibrary.wiley.com/doi/abs/10.1111/ehr.13132,2
22," Lim, SC Lye",Pawnbroking in Singapore,5,2001, World Scientific, Asian case research journal,https://www.worldscientific.com/doi/abs/10.1142/s021892750100010x,0
60," Hamid, AA Aziz",Could not catch title,5,0," the international islamic banking conference, 2003",SA Hamid,"Look manually at: https://scholar.google.com/scholar?start=50&q=pawnbroker&hl=en&as_sdt=0,5",0
16,"Collard, D Hayes",Pawnbroking Customers in 2010: A Survey–A Report to the National Pawnbrokers Association,4,2010, oro.open.ac.uk,,https://oro.open.ac.uk/40177/,0
14,"Bienkowski, K Davis",The pawnbroking industry: Evidence from Victoria,4,1997, kevindavis.com.au, Retrieved September,https://www.kevindavis.com.au/secondpages/workinprogress/PAWNVICT.pdf,0
4,"Miller, H Di, SA Hanke",An assessment of pawnbroker succession planning,4,2019, ijb.cyut.edu.tw, International Journal of Business,https://ijb.cyut.edu.tw/var/file/10/1010/img/865/V24N2-6.pdf,1
53,"S Azmi, N Hussin, R Basiruddin",Examining the differences between Ar Rahnu And conventional pawn broking in compatibility towards Maqasid Shariah,3,2015, researchgate.net, 1st International Islamic …,https://www.researchgate.net/profile/Salbiah-Nur-Shahrul-Azmi/publication/307890294_EXAMINING_THE_DIFFERENCES_BETWEEN_AR_RAHNU_AND_CONVENTIONAL_PAWN_BROKING_IN_COMPATIBILITY_TOWARDS_MAQASID_SHARIAH/links/57d0c55e08ae601b39a06325/EXAMINING-THE-DIFFERENCES-BETWEEN-AR-RAHNU-AND-CONVENTIONAL-PAWN-BROKING-IN-COMPATIBILITY-TOWARDS-MAQASID-SHARIAH.pdf,0
100,Verstrynge,Representing Holocaust Trauma: The Pawnbroker and Everything Is Illuminated,3,2018, libstore.ugent.be,,https://libstore.ugent.be/fulltxt/RUG01/001/457/836/RUG01-001457836_2011_0001_AC.pdf,0
69,"Comeau, J Duda, N Petitti, J Klofas",Analysis of 2010 Rochester-City pawn shop transactions,3,2011, rit.edu, Center for Public Safety Initiatives …,https://www.rit.edu/liberalarts/sites/rit.edu.liberalarts/files/documents/our-work/2011-03.pdf,0
70,"Comeau, J Klofas",Analysis of 2011 Rochester City Pawn Shop Transactions: The Year in Review,3,2012, rit.edu, Center for Public Safety Initiatives  Working Paper,https://www.rit.edu/liberalarts/sites/rit.edu.liberalarts/files/documents/our-work/2012-14.pdf,0
76,Brain,Could not catch title,3,0," How Stuff Works, 2001",,"Look manually at: https://scholar.google.com/scholar?start=70&q=pawnbroker&hl=en&as_sdt=0,5",0
95,Petrie,"A Note on the Novel and the Film: Flashbacks in"" Tristram Shandy"" and"" The Pawnbroker""",3,1967, search.proquest.com, Western Humanities Review,https://search.proquest.com/openview/bfcf43817a52915b33c50cc55b42ab56/1?pq-origsite=gscholar&cbl=1820945,0
78," Badriyaha, R Suhartob, K Kashadic…",Private Pawnshop Registration as an Effort to Develop Small and Medium Enterprises in Indonesia,3,2020, ijicc.net, International Journal of …,https://www.ijicc.net/images/vol12/iss7/12713_Badriyah_2020_E_R.pdf,1
74,Mahamed,Weaknesses in the pawnbroking legisiation and marpractices that accrue,2,1989, eprints.um.edu.my,,http://eprints.um.edu.my/11856/1/weaknesses_in_the_pawnbroking.pdf,0
64,Maron,Bringing the Psychological Past into the Physical Present: The Formal and Narrative Emergence of Traumatic Memory in Sidney Lumet's The Pawnbroker,2,2009, Taylor & Francis, Holocaust Studies,https://www.tandfonline.com/doi/abs/10.1080/17504902.2009.11087245,0
81,Bos,Could not catch title,2,0," V man% uscript Stockholm University, 2009",,"Look manually at: https://scholar.google.com/scholar?start=80&q=pawnbroker&hl=en&as_sdt=0,5",0
86, Porter,On the mont de piété system of pawnbroking in Ireland,2,1840, JSTOR, Journal of the Statistical Society of London,https://www.jstor.org/stable/2337740,0
96, Chandler,Could not catch title,2,0," Proceedings of the Annual Conference of the …, 1993",,"Look manually at: https://scholar.google.com/scholar?start=90&q=pawnbroker&hl=en&as_sdt=0,5",0
1, Donovan,"Lo, the Poor Pawnbroker",2,1942, HeinOnline, Law Soc'y J.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/lsocyjo11&section=40,0
51,Mottershead,Pawn Shops,2,1938, journals.sagepub.com, The ANNALS of the American Academy of …,https://journals.sagepub.com/doi/abs/10.1177/000271623819600122,0
12, Wheatley,"Pawnbrokers and Title Lenders in Mississippi: Economic, Regional, and Demographic Factors Affecting their Location and Placement.",2,2011, search.ebscohost.com, Southern Business & Economic Journal,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=0743779X&AN=86176373&h=NT6ieJdgE6LK5Po5rsSPoYeVaKy7yOW10PYDHgwVjVNJD7KFY9g2RZHhf0TpeZH4Pgd5BRE8xvrmoV34O7iZOg%3D%3D&crl=c,0
55, Oeltjen,"Pawnbroking: Coming to America, Observations of Statutory Non-Uniformity and a Call for Uniform Legislation",2,1990, HeinOnline, Buff. L. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/buflr38&section=10,0
72,Garcí,Pawnshops: Are They Really a Solution for the Vulnerable Population?,1,2017, ceeol.com, Ecoforum …,https://www.ceeol.com/search/article-detail?id=586009,0
90,Meyer,"Occupying the Middle: Italians, Jews, and Racial Positioning in Edward Lewis Wallant's The Pawnbroker and John A. Williams' Sons of Darkness, Sons of Light",1,2018, search.proquest.com, Journal of Ethnic American Literature,https://search.proquest.com/openview/f77ab64459d822173eef384be2552cc4/1?pq-origsite=gscholar&cbl=2026352,0
89,"Kassim, R Hassan, EA Bakar…",Protecting the pawners: Appraising the role of ministry of housing and local governments,1,2019, researchgate.net, International Journal of …,https://www.researchgate.net/profile/Rusni-Hassan/publication/343671425_Protecting_The_Pawners_Appraising_The_Role_Of_Ministry_of_Housing_and_Local_Government/links/601648e0299bf1b33e38ed6f/Protecting-The-Pawners-Appraising-The-Role-Of-Ministry-of-Housing-and-Local-Government.pdf,0
31,Veitch,The Law o'the Brass Balls or the Regulation of the Pawn,1,1992, HeinOnline, Can. Bus. LJ,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/canadbus21&section=9,0
30,Macrae,"The Social Hydra; Or, the Influence of the Traffic of Pawnbrokers and Brokers on the Religious, Moral, and Social Condition of the Working Classes and the …",1,1861, books.google.com,,https://books.google.com/books?hl=en&lr=&id=3x1eAAAAcAAJ&oi=fnd&pg=PA32&dq=pawnbroker&ots=vQpItIEgbg&sig=dMgJANBqA7UlnIuBWUo2H4JEJ8A,0
41, Hutchison,"Plumber, Pawnbroker, and the Pursuit of Meaning",1,1966, JSTOR,,https://www.jstor.org/stable/41177571,0
39,Goodhart,"Screen Memories: Trauma, Repetition, and Survival in Sidney Lumet's The Pawnbroker",1,2020, Springer, The Palgrave Handbook of Holocaust Literature and …,https://link.springer.com/chapter/10.1007/978-3-030-33428-4_25,0
52, Williams,True Nature of a Pawnee's Interest in Goods Pawned,1,1915, HeinOnline, LQ Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/lqr31&section=13,0
3,"Davis, N Bienkowski",Understanding Pawnbroking,1,2000, Citeseer, Department of Accounting and Finance. The …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=43366489707454e5bfe388d1c4e0507f8f240f0e,0
59,"Yunita, B Azheri, S Syofiarti",Pawn Execution to PT Pegadaian against Collateral Object Which Does Not Belong to the Pawner,1,2019, ijmmu.com, International Journal of Multicultural and …,https://ijmmu.com/index.php/ijmmu/article/view/872,0
88,"Zhou, S Yao, J Wang, J Ou",China's pawn-broking industry and the puzzle of losses during the global financial crisis in 2008-2009,0,0,repository.worktribe.com,,https://nottingham-repository.worktribe.com/output/859083,0
23,"L, III",Pawnbroker Regulation and the Pennsylvania Act,0,1940, JSTOR, University of Pennsylvania Law Review and American …,https://www.jstor.org/stable/3309145,0
85,See,"… principles of wider fields of law. The law of pledges, for instance, having had its origin in this business still plays an important part in the pawnbroker's conduct. A full …",0,0, HeinOnline,,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/pnlr89&section=17,0
87,McQuillin,Some Observations Relative to the Regulation of Pawnbrokers and Second-Hand Dealers by Municipal Ordinace as Respects Municipal Power and Method of …,0,1906, HeinOnline, Cent. LJ,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/cntrlwj63&section=27,0
20,O Pawnbrokers' Act,c 176 Pawnbrokers' Act,0,1914, digitalcommons.osgoode.yorku.ca,,https://digitalcommons.osgoode.yorku.ca/cgi/viewcontent.cgi?referer=&httpsredir=1&article=4910&context=rso,0
24,Winer,The Pawnbroker,0,2018, taylorfrancis.com, Cinematic Reflections on The Legacy of the Holocaust,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315142159-5/pawnbroker-robert-winer,0
92,"Coombes, D Reimers",Implications of liquidity management down-under: the central bank as a pawnbroker,0,2006, opal.latrobe.edu.au,,https://opal.latrobe.edu.au/articles/journal_contribution/Implications_of_liquidity_management_down-under_the_central_bank_as_a_pawnbroker/22200790/1/files/39458734.pdf,0
93,"Reimers, T Coombes",Implications of Liquidity Management Down-Under: The Central Bank as a Pawnbroker,0,2006, opal.latrobe.edu.au, International Journal of Business …,https://opal.latrobe.edu.au/ndownloader/files/39458734,0
94,Parker,"Ester, a Missing Clasp, and Jewish Pawnbroking Networks in Renaissance Prague",0,2021, cambridge.org, Austrian History Yearbook,https://www.cambridge.org/core/journals/austrian-history-yearbook/article/ester-a-missing-clasp-and-jewish-pawnbroking-networks-in-renaissance-prague/F9111EA0989831267B4603E16DEE277A,0
5,Sturgeon,Afternoon of the Pawnbrokers,0,2020, JSTOR, The Baffler,https://www.jstor.org/stable/26866586,0
97,Jacobs,Constitutional Law: Due Process: Notice and Hearing: Validity of Statute Authorizing Seizure of Property Illegally in Possession of Pawnbroker,0,1942, JSTOR, Michigan Law Review,https://www.jstor.org/stable/1282870,0
98,Baltuskonis,The “Phantom Growth” of Sol Nazerman: Suppression in The Pawnbroker,0,2016, digitalcommons.trinity.edu, … A Journal of Undergraduate Research in …,https://digitalcommons.trinity.edu/cgi/viewcontent.cgi?article=1000&context=eng_expositor,0
84,"McMahon, C McMahon",Legitimate Bankers: Pawnbrokers and Moneylenders Join the Premier League,0,2021, Springer, Taming the Fringe: The Regulation and …,https://link.springer.com/chapter/10.1007/978-3-030-70615-9_4,0
56, Authority,Sitting on a gold mine: Getting what's owed to pawnbroking customers,0,2021, researchgate.net,,https://www.researchgate.net/profile/Christopher-Burke/publication/350240640_Sitting_on_a_gold_mine_Getting_what's_owed_to_pawnbroking_customers/links/60578511458515e8345fe667/Sitting-on-a-gold-mine-Getting-whats-owed-to-pawnbroking-customers.pdf,0
82,Lewis,The “Phantom Growth” of Sol Nazerman: Suppression in The Pawnbroker,0,1961, core.ac.uk, Victoria,https://core.ac.uk/download/pdf/216388825.pdf,0
46,Sánchez,The Murder of a Pawnbroker and the Gentlemen's Duel,0,2024, utexaspressjournals.org, Studies in Latin American Popular Culture,https://www.utexaspressjournals.org/doi/abs/10.7560/SLAPC4207,0
61," Hung, CY Lin",Key Sustainable Factors of the Pawnbroking Industry: An Empirical Study in Taiwan,0,2022, mdpi.com, Sustainability,https://www.mdpi.com/2071-1050/14/19/12669,0
54,"Pratiwi, AA Dj, N Ginting…","Analysis Of The Influence Of Leadership, Work Discipline And Compensation On Performance Of State-Owned Pawnbroker Employees In Indonesia",0,2023, journal.lembagakita.org, JEMSI (Jurnal Ekonomi …,http://journal.lembagakita.org/index.php/jemsi/article/view/1711,0
50, Schaefer,Equity of Redemption--Right to Redeem Within Ten Days After Sale if Pawnbroker is Himself the Purchaser,0,2014, scholarship.law.stjohns.edu, St. John's Law Review,https://scholarship.law.stjohns.edu/cgi/viewcontent.cgi?article=6166&context=lawreview,0
48,"Bos, SP Carter, PM Skiba",The Importance of Pawnshops,0,2021, books.google.com, Law  Economics  and Conflict,https://books.google.com/books?hl=en&lr=&id=q-QiEAAAQBAJ&oi=fnd&pg=PA127&dq=pawnbroker&ots=Q06r1-E-TV&sig=E4CU4iUIHCo52d1aqin-Rkq6nMI,0
66,R,Pawnbrokers: Violation of Penal Code: Effect on Validity of Contract,0,1916, JSTOR, California Law Review,https://www.jstor.org/stable/3474409,0
67, Feng,"Pawnbrokers (Amendment) Act, 1977 (No. 7)",0,1977, HeinOnline, Malaya L. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/sjls19&section=30,0
45,"Kassim, R Hassan, M Hingun, EA Bakar","PROTECTING THE PAWNERS: APPRAISING THE ROLE OF THE MINISTRY OF URBAN WELLBEING, HOUSING AND LOCAL GOVERNMENT",0,2018, m.egax.org, Proceeding: 2ND …,http://www.m.egax.org/edu/proceedings/2018/5-2nd-international-conference-on-business-tourism-and-technology-2nd-icbtt-2018?format=html#page=130,0
25,Author not found,Could not catch title,0,0,"S Kohm, J Selwood",Venue not fount,"Look manually at: https://scholar.google.com/scholar?start=20&q=pawnbroker&hl=en&as_sdt=0,5",0
44,"O'Brien, I Ramsay, P Ali",Lending on the edge: Pawnbroking in Australia,0,2024, search.informit.org, The University of Queensland Law …,https://search.informit.org/doi/abs/10.3316/informit.T2024052900015191045648575,0
42,O Pawnbrokers' Act,c 213 Pawnbrokers' Act,0,1927, digitalcommons.osgoode.yorku.ca,,https://digitalcommons.osgoode.yorku.ca/cgi/viewcontent.cgi?referer=&httpsredir=1&article=4386&context=rso,0
35,"Thornton, JH May",Pawnbrokers' accounts,0,1902, books.google.com,,https://books.google.com/books?hl=en&lr=&id=-EMoAAAAYAAJ&oi=fnd&pg=PP15&dq=pawnbroker&ots=eEuB0mrIIV&sig=kJt3Bkt0YRiAWlrjvlcEiNMffDs,0
28,"McMahon, C McMahon",Victorian Pawnbrokers: Cancerous Worms of Ruin or the Poor Man's Banker?,0,2021, Springer, Taming the Fringe: The Regulation and …,https://link.springer.com/chapter/10.1007/978-3-030-70615-9_2,0
58, Whyte,Usury: Personal Property Brokers: Pawnbrokers: Industrial Loan Companies,0,1930, JSTOR, California Law Review,https://www.jstor.org/stable/3475224,0
26,C Funes,EFFECTS OF PROPOSED CHANGES TO THE PAWNBROKERS ORDINANCE,0,2018, cabq.gov,,https://www.cabq.gov/council/documents/unm_bber_pawnbrokers_finalreport9_27_2018deliverable-2.pdf,0
27," Orekhova, A Sahil, AV Glushko",FEAUTURES OF PAWNSHOPS ACTIVITY,0,0, dspace.wunu.edu.ua,KV Orekhova  A Sahil,http://dspace.wunu.edu.ua/bitstream/316497/33582/1/%D0%A2%D1%83%D0%BB%D0%B0%D0%B9%20%D0%A1%D1%83%D1%87%20%D1%85%D0%B0%D1%80%20%D0%B1%D1%8E%D0%B4%D0%B6%20%D0%BF%D0%BE%D0%BB%20%D0%B4%D0%B5%D1%80%D0%B6.pdf#page=6,0
